timestamp,dx,dy,D,speed
1618417009801796000,-6,19,0.558018,19.9249
1618417009809824000,-5,18,0.53751,18.6815
1618417009817983000,-4,18,0.518421,18.4391
1618417009825830000,-4,18,0.499842,18.4391
1618417009834522000,-4,17,0.481311,17.4642
1618417009841771000,-3,17,0.46375,17.2627
1618417009849791000,-4,17,0.446749,17.4642
1618417009857863000,-3,17,0.429305,17.2627
1618417009865762000,-3,15,0.412461,15.2971
1618417009873774000,-3,15,0.397487,15.2971
1618417009881876000,-3,15,0.382592,15.2971
1618417009890345000,-3,14,0.367783,14.3178
1618417009897906000,-4,13,0.353932,13.6015
1618417009905709000,-5,13,0.340424,13.9284
1618417009913715000,-4,12,0.326364,12.6491
1618417009921808000,-5,12,0.313801,13
1618417009929926000,-4,11,0.300663,11.7047
1618417009937893000,-5,10,0.289023,11.1803
1618417009945876000,-5,10,0.277603,11.1803
1618417009953799000,-5,9,0.266203,10.2956
1618417009961810000,-5,8,0.255634,9.43398
1618417009969839000,-5,8,0.245884,9.43398
1618417009978113000,-6,9,0.23614,10.8167
1618417009985828000,-6,8,0.224935,10
1618417009993865000,-6,8,0.214534,10
1618417010001839000,-7,7,0.204134,9.89949
1618417010009973000,-8,7,0.19386,10.6301
1618417010017805000,-9,8,0.182927,12.0416
1618417010025750000,-9,7,0.170547,11.4018
1618417010033884000,-9,8,0.159016,12.0416
1618417010041790000,-10,8,0.146704,12.8062
1618417010049752000,-9,8,0.133828,12.0416
1618417010057881000,-9,8,0.121635,12.0416
1618417010065897000,-9,7,0.10952,11.4018
1618417010073930000,-8,8,0.0984128,11.3137
1618417010081771000,-7,7,0.0870711,9.89949
1618417010089820000,-6,7,0.0772561,9.21954
1618417010098063000,-6,8,0.0680055,10
1618417010105880000,-5,7,0.0578989,8.60233
1618417010113784000,-4,6,0.0492466,7.2111
1618417010121980000,-4,6,0.0420177,7.2111
1618417010129952000,-3,5,0.0349083,5.83095
1618417010138006000,-3,5,0.0291923,5.83095
1618417010145921000,-2,4,0.0236552,4.47214
1618417010153746000,-2,3,0.0194424,3.60555
1618417010161836000,-1,3,0.0165151,3.16228
1618417010169776000,-1,3,0.0136765,3.16228
1618417010179426000,0,2,0.0110927,2
1618417010185804000,-1,3,0.0092449,3.16228
1618417010193768000,0,2,0.0074962,2
1618417010201983000,-1,3,0.00634933,3.16228
1618417010209785000,0,1,0.00676463,1
1618417010217854000,0,1,0.0068983,1
1618417010225961000,0,1,0.00718212,1
1618417010282395000,0,0,0.00759929,0
1618417010354130000,0,0,0.966659,0
1618417010377991000,0,-2,0.966659,2
1618417010385800000,0,-3,0.964721,3
1618417010393906000,0,-4,0.961816,4
1618417010401863000,0,-4,0.957945,4
1618417010409828000,1,-6,0.954076,6.08276
1618417010418038000,2,-8,0.948669,8.24621
1618417010425833000,2,-11,0.94174,11.1803
1618417010433805000,3,-15,0.931956,15.2971
1618417010441716000,4,-19,0.918797,19.4165
1618417010449798000,5,-24,0.902342,24.5153
1618417010458000000,4,-27,0.881757,27.2947
1618417010465883000,1,-29,0.858173,29.0172
1618417010473774000,0,-28,0.831612,28
1618417010481781000,-3,-29,0.805741,29.1548
1618417010489920000,-6,-26,0.77768,26.6833
1618417010497838000,-9,-25,0.750976,26.5707
1618417010505935000,-13,-25,0.723699,28.178
1618417010513800000,-16,-25,0.694372,29.6816
1618417010521823000,-20,-24,0.663491,31.241
1618417010529816000,-21,-26,0.631476,33.4215
1618417010537924000,-22,-27,0.597191,34.8281
1618417010546253000,-22,-28,0.561562,35.609
1618417010554135000,-22,-28,0.525095,35.609
1618417010562954000,-19,-28,0.488723,33.8378
1618417010570100000,-18,-27,0.45382,32.45
1618417010578147000,-16,-25,0.420361,29.6816
1618417010586014000,-15,-24,0.389722,28.3019
1618417010593778000,-15,-24,0.360506,28.3019
1618417010602428000,-15,-22,0.331336,26.6271
1618417010609969000,-13,-22,0.304154,25.5539
1618417010618036000,-13,-21,0.277839,24.6982
1618417010625896000,-12,-19,0.252563,22.4722
1618417010633800000,-10,-19,0.229699,21.4709
1618417010641775000,-9,-18,0.207604,20.1246
1618417010649831000,-7,-18,0.186879,19.3132
1618417010657952000,-8,-17,0.16681,18.7883
1618417010666078000,-5,-16,0.147466,16.7631
1618417010673884000,-4,-16,0.13001,16.4924
1618417010681876000,-4,-15,0.112839,15.5242
1618417010689973000,-5,-13,0.0966714,13.9284
1618417010697873000,-4,-13,0.0822246,13.6015
1618417010706110000,-6,-11,0.0680649,12.53
1618417010714357000,-5,-9,0.0554699,10.2956
1618417010722007000,-5,-8,0.0453448,9.43398
1618417010730292000,-4,-7,0.0366142,8.06226
1618417010738060000,-3,-5,0.029499,5.83095
1618417010745990000,-2,-4,0.0249487,4.47214
1618417010754251000,-1,-2,0.0216815,2.23607
1618417010761971000,-1,-2,0.0202531,2.23607
1618417010778280000,-1,-1,0.0190037,1.41421
1618417010793860000,0,-1,0.0187762,1
1618417010801877000,0,-1,0.0179706,1
1618417010809844000,0,-1,0.0171905,1
1618417010817735000,0,-1,0.0164394,1
1618417010825665000,0,-1,0.0157214,1
1618417010898664000,0,0,0.0150413,0
1618417010970035000,0,0,0.479071,0
1618417011049978000,-1,-2,0.479071,2.23607
1618417011058031000,-1,-2,0.477983,2.23607
1618417011065848000,-2,-3,0.476903,3.60555
